Augusta town,255
Augusta township,770
Augusta village,566
Augusta village (pt.),34
Augusta-Richmond County consolidated government,201368
Augusta-Richmond County consolidated government (balance),196741
Augustine township,22
Aulander town,843
Aullville village,98
Ault town,1603
Ault township,109
Aumsville city,3923
Aurdal township,1461
Aurelia city,1016
Aurelius town,2745
Aurelius township,4228
Aurena township,22
Aurora city,353108
Aurora city (pt.),43766
Aurora County,2745
Aurora town,114
Aurora township,148038
Aurora village,773
Austell city,6985
Austell city (pt.),6943
Austerlitz town,1649
Austin borough,554
Austin city,3091
Austin city (pt.),0
Austin County,29114
Austin township,209
Austinburg township,2155
Austintown township,36009
Austwell city,150
Autauga County,55395
Autaugaville town,865
Automba township,141
Autryville town,203
Aux Sable township,13179
Auxvasse city,988
Ava city,639
Ava town,697
Avalon borough,1297
Avalon city,3802
Avalon town,204
Avant town,319
Avena township,1977
Avenal city,13308
Aventura city,37451
Avera city,237
Averill town,23
Avery County,17773
Avery town,460
Avery township,612
Avery's gore,0
Avilla town,2411
Avilla township,88
Avinger town,440
Avis borough,1515
Aviston village,2073
Aviston village (pt.),0
Avoca borough,2652
Avoca city,1506
Avoca town,509
Avoca township,395
Avoca village,242
Avon city,1436
Avon Lake city,23204
Avon Park city,8879
Avon town,535
Avon town (pt.),4
Avon township,64977
Avon village,767
Avon village (pt.),765
Avon-by-the-Sea borough,1795
Avondale borough,1402
Avondale city,79646
Avondale Estates city,2832
Avonmore borough,988
Avoyelles Parish,41145
Awendaw town,1356
Axtell city,409
Axtell village,743
Ayden town,5059
Ayer town,7952
Ayers township,461
Aynor town,640
Ayr city,17
Ayr township,439
Ayr village,94
Ayr village (pt.),50
Ayrshire city,139
Azle city,11530
Azle city (pt.),1864
Aztalan town,1484
Aztec city,6419
Azusa city,48799
Babbie town,607
Babbitt city,1530
Babylon town,214191
Babylon village,12172
Baca County,3645
Bachelor township,184
Backus city,245
Backus township,322
Bacon County,11281
Bacon township,670
Baconton city,879
Bad Axe city,3029
Bad Nation township,31
Baden borough,4056
Baden township,35
Badger city,547
Badger town,105
Badger township,116
Badin town,1976
Badoura township,126
Badus township,122
Baer township,28
Baggs town,439
Bagley city,297
Bagley town,288
Bagley township,5873
Bagley village,366
Bagnell town,95
Bailey city,287
Bailey County,6910
Bailey Lakes village,376
Bailey town,567
Bailey township,14
Baileys Harbor town,1035
Bailey's Prairie village,743
Baileyton town,620
Baileyville town,1467
Bainbridge city,12496
Bainbridge Island city,23293
Bainbridge town,742
Bainbridge township,615
Bainbridge village,1337
Bainville town,299
Baird city,1479
Bairdstown village,132
Bairoil town,107
Baker city,13776
Baker City city,9801
Baker County,27093
Baker township,739
Bakerhill town,269
Bakersfield city,368759
Bakersfield town,1351
Bakersfield village,238
Bakersville town,455
Bal Harbour village,2633
Bala township,744
Balance of Abbeville County,15518
Balance of Abington township,165
Balance of Aboite township,10788
Balance of Acadia Parish,32140
Balance of Accomack County,23937
Balance of Ada County,64010
Balance of Adair County,2864
Balance of Adams County,94779
Balance of Adams town,3463
Balance of Adams township,654
Balance of Addison County,34412
Balance of Addison town,830
Balance of Addison township,5932
Balance of Aetna township,1994
Balance of Afton town,1993
Balance of Afton township,551
Balance of Agency township,166
Balance of Agnes City township,216
Balance of Aiken County,103959
Balance of Aitkin County,12383
Balance of Akron township,364
Balance of Alachua County,102625
Balance of Alamance County,58827
Balance of Alameda County,148370
Balance of Alamosa County,6543
Balance of Albany County,160789
Balance of Albany town,733
Balance of Albany township,189
Balance of Albemarle County,103927
Balance of Albion town,3777
Balance of Albion township,107
Balance of Alburgh town,1509
Balance of Alcona County,9657
Balance of Alcorn County,19387
Balance of Alden town,8030
Balance of Alden township,1377
Balance of Aleutians East Borough,66
Balance of Aleutians West Census Area,217
Balance of Alexander County,2830
Balance of Alexander town,1869
Balance of Alexander township,2785
Balance of Alexander-Belle Prairie township,49
Balance of Alexandria town,3079
Balance of Alfalfa County,1538
Balance of Alfred town,1040
Balance of Alger County,6936
Balance of Algernon township,132
Balance of Algonquin township,9803
Balance of Alhambra township,981
Balance of Allamakee County,6430
Balance of Allegan County,85101
Balance of Allegany County,40128
Balance of Allegany town,5996
Balance of Alleghany County,9147
Balance of Allegheny County,460385
Balance of Allen County,78473
Balance of Allen Parish,13000
Balance of Allen township,196
Balance of Allendale County,4355
Balance of Allens Grove township,177
Balance of Allin township,324
